score,gender,region,highest_education,imd_band,age_band,module_presentation
group3,M,South West Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,South West Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,F,South West Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,East Anglian Region,Lower Than A Level,80-90%,0-35,CCC_2014B
group3,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,CCC_2014B
group1,M,South East Region,Lower Than A Level,50-60%,0-35,CCC_2014B
group3,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,CCC_2014B
group1,M,Wales,Lower Than A Level,60-70%,35-55,CCC_2014B
group3,M,East Anglian Region,HE Qualification,20-30%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,70-80%,0-35,CCC_2014B
group3,F,Wales,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,M,North Western Region,HE Qualification,90-100%,0-35,CCC_2014B
group3,F,South West Region,Lower Than A Level,30-40%,0-35,CCC_2014B
group3,F,East Midlands Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,80-90%,35-55,CCC_2014B
group3,M,West Midlands Region,HE Qualification,60-70%,0-35,CCC_2014B
group3,M,South Region,Lower Than A Level,90-100%,0-35,CCC_2014B
group1,M,North Western Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,M,Yorkshire Region,HE Qualification,80-90%,0-35,CCC_2014B
group3,M,North Western Region,HE Qualification,40-50%,35-55,CCC_2014B
group3,M,West Midlands Region,HE Qualification,60-70%,35-55,CCC_2014B
group3,M,East Anglian Region,HE Qualification,60-70%,35-55,CCC_2014B
group1,M,North Western Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,Wales,HE Qualification,80-90%,0-35,CCC_2014B
group1,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,90-100%,35-55,CCC_2014B
group3,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group1,F,North Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,M,Wales,HE Qualification,0-10%,0-35,CCC_2014B
group1,M,South West Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group1,M,London Region,Lower Than A Level,40-50%,0-35,CCC_2014B
group1,F,Yorkshire Region,Lower Than A Level,10-20,0-35,CCC_2014B
group1,M,East Anglian Region,Lower Than A Level,80-90%,0-35,CCC_2014B
group1,M,North Western Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group3,F,South Region,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,South Region,HE Qualification,80-90%,35-55,CCC_2014B
group3,F,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,F,London Region,Lower Than A Level,20-30%,0-35,CCC_2014B
group1,M,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,South Region,Lower Than A Level,40-50%,0-35,CCC_2014B
group1,M,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group1,M,North Western Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group1,M,Scotland,HE Qualification,90-100%,0-35,CCC_2014B
group1,F,South Region,A Level or Equivalent,70-80%,35-55,CCC_2014B
group1,M,Scotland,HE Qualification,40-50%,35-55,CCC_2014B
group3,M,South West Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,M,Scotland,Post Graduate Qualification,50-60%,0-35,CCC_2014B
group1,F,Yorkshire Region,Lower Than A Level,80-90%,0-35,CCC_2014B
group1,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,M,South Region,HE Qualification,60-70%,0-35,CCC_2014B
group1,M,Scotland,Lower Than A Level,60-70%,0-35,CCC_2014B
group3,M,South Region,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,80-90%,0-35,CCC_2014B
group3,F,London Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,South Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,M,London Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,F,North Western Region,Lower Than A Level,40-50%,0-35,CCC_2014B
group1,M,North Western Region,A Level or Equivalent,20-30%,0-35,CCC_2014B
group3,M,East Midlands Region,A Level or Equivalent,10-20,35-55,CCC_2014B
group3,M,Scotland,A Level or Equivalent,20-30%,0-35,CCC_2014B
group1,M,Wales,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,South Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group1,F,Scotland,HE Qualification,90-100%,0-35,CCC_2014B
group1,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,20-30%,0-35,CCC_2014B
group3,M,South Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,M,South Region,A Level or Equivalent,90-100%,0-35,CCC_2014B
group1,M,West Midlands Region,HE Qualification,40-50%,0-35,CCC_2014B
group3,M,West Midlands Region,A Level or Equivalent,0-10%,35-55,CCC_2014B
group1,M,South Region,HE Qualification,70-80%,35-55,CCC_2014B
group3,M,London Region,A Level or Equivalent,20-30%,0-35,CCC_2014B
group1,M,Scotland,Lower Than A Level,90-100%,0-35,CCC_2014B
group1,M,South Region,HE Qualification,90-100%,35-55,CCC_2014B
group1,F,South Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,M,Yorkshire Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group3,M,East Anglian Region,HE Qualification,10-20,0-35,CCC_2014B
group3,F,South Region,Lower Than A Level,30-40%,0-35,CCC_2014B
group1,M,North Region,HE Qualification,30-40%,35-55,CCC_2014B
group3,M,South West Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group1,M,South Region,Lower Than A Level,50-60%,0-35,CCC_2014B
group1,M,North Region,A Level or Equivalent,0-10%,35-55,CCC_2014B
group3,F,Wales,Lower Than A Level,0-10%,0-35,CCC_2014B
group3,M,South Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,M,London Region,A Level or Equivalent,40-50%,35-55,CCC_2014B
group3,F,Scotland,Post Graduate Qualification,60-70%,35-55,CCC_2014B
group1,M,South Region,Lower Than A Level,90-100%,35-55,CCC_2014B
group3,M,Scotland,HE Qualification,80-90%,0-35,CCC_2014B
group3,F,South East Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group1,M,London Region,Post Graduate Qualification,10-20,35-55,CCC_2014B
group3,F,London Region,A Level or Equivalent,20-30%,35-55,CCC_2014B
group1,M,East Anglian Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group1,F,London Region,Lower Than A Level,10-20,0-35,CCC_2014B
group1,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group1,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,South East Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,M,London Region,A Level or Equivalent,50-60%,35-55,CCC_2014B
group1,F,North Region,Lower Than A Level,0-10%,35-55,CCC_2014B
group1,F,London Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,M,London Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,F,London Region,HE Qualification,20-30%,0-35,CCC_2014B
group3,M,South West Region,HE Qualification,30-40%,0-35,CCC_2014B
group1,F,East Anglian Region,Lower Than A Level,30-40%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,50-60%,0-35,CCC_2014B
group3,M,South East Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,F,Scotland,HE Qualification,70-80%,0-35,CCC_2014B
group3,F,South East Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group3,M,South Region,HE Qualification,40-50%,0-35,CCC_2014B
group1,M,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,F,East Anglian Region,HE Qualification,60-70%,35-55,CCC_2014B
group3,M,Scotland,A Level or Equivalent,50-60%,35-55,CCC_2014B
group1,M,East Anglian Region,HE Qualification,50-60%,0-35,CCC_2014B
group1,M,London Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group3,M,Scotland,Post Graduate Qualification,90-100%,35-55,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group1,M,East Anglian Region,Lower Than A Level,0-10%,0-35,CCC_2014B
group3,F,South East Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,M,East Anglian Region,HE Qualification,60-70%,35-55,CCC_2014B
group1,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group1,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,East Anglian Region,HE Qualification,70-80%,0-35,CCC_2014B
group3,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,Yorkshire Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group1,F,South West Region,Lower Than A Level,60-70%,0-35,CCC_2014B
group3,M,North Western Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,M,West Midlands Region,HE Qualification,50-60%,0-35,CCC_2014B
group3,F,North Western Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group3,M,South East Region,A Level or Equivalent,10-20,35-55,CCC_2014B
group1,F,Scotland,HE Qualification,40-50%,0-35,CCC_2014B
group3,M,East Midlands Region,A Level or Equivalent,10-20,35-55,CCC_2014B
group3,F,North Western Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group1,M,West Midlands Region,HE Qualification,20-30%,0-35,CCC_2014B
group3,M,London Region,HE Qualification,20-30%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,20-30%,0-35,CCC_2014B
group3,M,West Midlands Region,Lower Than A Level,20-30%,0-35,CCC_2014B
group1,F,South Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,M,London Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,M,London Region,HE Qualification,50-60%,0-35,CCC_2014B
group1,M,South West Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,North Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,40-50%,35-55,CCC_2014B
group1,M,London Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group1,M,South Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,M,London Region,Lower Than A Level,10-20,0-35,CCC_2014B
group1,M,East Anglian Region,HE Qualification,80-90%,0-35,CCC_2014B
group3,M,Scotland,Lower Than A Level,90-100%,35-55,CCC_2014B
group3,M,Scotland,Post Graduate Qualification,90-100%,0-35,CCC_2014B
group1,M,North Western Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,M,North Western Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group1,M,London Region,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,East Anglian Region,HE Qualification,90-100%,0-35,CCC_2014B
group1,M,Wales,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,F,London Region,Lower Than A Level,20-30%,0-35,CCC_2014B
group3,F,West Midlands Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,F,London Region,A Level or Equivalent,90-100%,35-55,CCC_2014B
group3,F,Scotland,A Level or Equivalent,20-30%,0-35,CCC_2014B
group1,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,F,South East Region,HE Qualification,70-80%,0-35,CCC_2014B
group3,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,90-100%,35-55,CCC_2014B
group3,F,North Western Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,F,Scotland,HE Qualification,50-60%,55<=,CCC_2014B
group3,F,South West Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,Wales,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,South West Region,HE Qualification,50-60%,0-35,CCC_2014B
group3,M,Scotland,Lower Than A Level,70-80%,35-55,CCC_2014B
group3,M,West Midlands Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,M,South Region,HE Qualification,50-60%,0-35,CCC_2014B
group3,M,North Western Region,Lower Than A Level,0-10%,0-35,CCC_2014B
group3,F,North Western Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,M,Wales,HE Qualification,0-10%,0-35,CCC_2014B
group1,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,East Midlands Region,HE Qualification,90-100%,0-35,CCC_2014B
group1,M,Ireland,Lower Than A Level,50-60%,0-35,CCC_2014B
group3,M,South Region,HE Qualification,80-90%,35-55,CCC_2014B
group3,M,London Region,HE Qualification,90-100%,55<=,CCC_2014B
group1,M,London Region,A Level or Equivalent,80-90%,35-55,CCC_2014B
group3,M,Scotland,Post Graduate Qualification,80-90%,35-55,CCC_2014B
group3,M,London Region,A Level or Equivalent,90-100%,35-55,CCC_2014B
group1,M,South Region,A Level or Equivalent,90-100%,35-55,CCC_2014B
group3,M,Scotland,HE Qualification,80-90%,55<=,CCC_2014B
group3,F,South Region,Post Graduate Qualification,90-100%,35-55,CCC_2014B
group3,M,South Region,A Level or Equivalent,80-90%,35-55,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,F,South West Region,HE Qualification,70-80%,35-55,CCC_2014B
group3,M,Wales,HE Qualification,80-90%,35-55,CCC_2014B
group1,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,CCC_2014B
group1,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,CCC_2014B
group3,M,Scotland,A Level or Equivalent,40-50%,35-55,CCC_2014B
group3,M,South West Region,A Level or Equivalent,70-80%,35-55,CCC_2014B
group1,M,Ireland,HE Qualification,30-40%,35-55,CCC_2014B
group3,F,Scotland,HE Qualification,40-50%,35-55,CCC_2014B
group3,F,South West Region,A Level or Equivalent,60-70%,35-55,CCC_2014B
group3,M,North Western Region,Lower Than A Level,0-10%,35-55,CCC_2014B
group3,F,London Region,A Level or Equivalent,10-20,35-55,CCC_2014B
group1,M,Scotland,HE Qualification,60-70%,35-55,CCC_2014B
group1,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,CCC_2014B
group3,F,Scotland,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,F,North Western Region,HE Qualification,70-80%,35-55,CCC_2014B
group3,M,Scotland,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,0-10%,35-55,CCC_2014B
group3,M,East Midlands Region,Lower Than A Level,30-40%,35-55,CCC_2014B
group1,M,East Anglian Region,HE Qualification,40-50%,35-55,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,F,East Anglian Region,HE Qualification,90-100%,0-35,CCC_2014B
group3,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,CCC_2014B
group1,M,Wales,A Level or Equivalent,70-80%,35-55,CCC_2014B
group3,M,East Anglian Region,HE Qualification,40-50%,35-55,CCC_2014B
group3,M,Yorkshire Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,M,North Western Region,Lower Than A Level,90-100%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,F,London Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group3,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group3,F,South Region,A Level or Equivalent,20-30%,35-55,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,M,Scotland,Post Graduate Qualification,90-100%,35-55,CCC_2014B
group3,M,Scotland,HE Qualification,80-90%,0-35,CCC_2014B
group3,M,East Midlands Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group3,F,Scotland,A Level or Equivalent,0-10%,35-55,CCC_2014B
group3,F,Wales,A Level or Equivalent,40-50%,35-55,CCC_2014B
group3,M,London Region,HE Qualification,0-10%,0-35,CCC_2014B
group3,M,London Region,Lower Than A Level,60-70%,35-55,CCC_2014B
group3,M,South West Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group1,M,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group1,M,South Region,Lower Than A Level,30-40%,35-55,CCC_2014B
group3,M,London Region,Post Graduate Qualification,10-20,35-55,CCC_2014B
group1,M,South West Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,North Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,South Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,M,South West Region,A Level or Equivalent,30-40%,0-35,CCC_2014B
group1,M,North Region,Lower Than A Level,20-30%,35-55,CCC_2014B
group1,M,Scotland,Post Graduate Qualification,50-60%,0-35,CCC_2014B
group3,F,South West Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,F,Scotland,Lower Than A Level,30-40%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,60-70%,0-35,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,M,Scotland,HE Qualification,90-100%,35-55,CCC_2014B
group3,M,East Anglian Region,HE Qualification,60-70%,35-55,CCC_2014B
group3,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,30-40%,35-55,CCC_2014B
group3,M,West Midlands Region,HE Qualification,80-90%,0-35,CCC_2014B
group3,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group3,M,West Midlands Region,Lower Than A Level,20-30%,35-55,CCC_2014B
group3,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,F,Scotland,HE Qualification,10-20,0-35,CCC_2014B
group1,M,East Midlands Region,HE Qualification,60-70%,0-35,CCC_2014B
group1,M,London Region,A Level or Equivalent,10-20,35-55,CCC_2014B
group3,M,East Anglian Region,HE Qualification,40-50%,35-55,CCC_2014B
group3,M,Wales,A Level or Equivalent,90-100%,0-35,CCC_2014B
group3,M,South West Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,London Region,Lower Than A Level,10-20,0-35,CCC_2014B
group1,F,London Region,Lower Than A Level,10-20,35-55,CCC_2014B
group3,M,Yorkshire Region,Lower Than A Level,60-70%,0-35,CCC_2014B
group3,M,North Region,A Level or Equivalent,10-20,0-35,CCC_2014B
group1,M,London Region,A Level or Equivalent,40-50%,35-55,CCC_2014B
group3,M,East Midlands Region,A Level or Equivalent,50-60%,35-55,CCC_2014B
group3,M,Scotland,HE Qualification,90-100%,35-55,CCC_2014B
group3,M,Scotland,Post Graduate Qualification,60-70%,35-55,CCC_2014B
group3,F,South Region,HE Qualification,40-50%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,0-10%,0-35,CCC_2014B
group3,F,South Region,Lower Than A Level,50-60%,35-55,CCC_2014B
group3,F,South Region,Lower Than A Level,80-90%,0-35,CCC_2014B
group1,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,CCC_2014B
group1,F,North Western Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,M,North Western Region,HE Qualification,0-10%,35-55,CCC_2014B
group1,M,South West Region,A Level or Equivalent,90-100%,0-35,CCC_2014B
group1,M,London Region,Lower Than A Level,60-70%,0-35,CCC_2014B
group1,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,CCC_2014B
group1,M,North Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,F,Scotland,Post Graduate Qualification,80-90%,0-35,CCC_2014B
group1,M,South East Region,Lower Than A Level,30-40%,0-35,CCC_2014B
group3,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,M,Scotland,A Level or Equivalent,90-100%,0-35,CCC_2014B
group1,M,East Anglian Region,Lower Than A Level,70-80%,0-35,CCC_2014B
group1,M,Yorkshire Region,HE Qualification,20-30%,0-35,CCC_2014B
group1,M,North Western Region,Lower Than A Level,20-30%,35-55,CCC_2014B
group3,M,Wales,Post Graduate Qualification,80-90%,35-55,CCC_2014B
group1,M,North Western Region,No Formal quals,20-30%,0-35,CCC_2014B
group3,M,London Region,Lower Than A Level,40-50%,35-55,CCC_2014B
group3,M,Ireland,HE Qualification,80-90%,35-55,CCC_2014B
group3,M,Yorkshire Region,HE Qualification,30-40%,0-35,CCC_2014B
group3,F,South Region,HE Qualification,80-90%,35-55,CCC_2014B
group1,M,South Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group3,M,South West Region,HE Qualification,80-90%,0-35,CCC_2014B
group3,M,North Region,HE Qualification,30-40%,0-35,CCC_2014B
group3,M,West Midlands Region,HE Qualification,50-60%,35-55,CCC_2014B
group1,M,London Region,A Level or Equivalent,10-20,35-55,CCC_2014B
group1,M,London Region,A Level or Equivalent,0-10%,0-35,CCC_2014B
group3,M,North Western Region,A Level or Equivalent,20-30%,35-55,CCC_2014B
group1,M,Scotland,A Level or Equivalent,80-90%,0-35,CCC_2014B
group1,M,Scotland,Lower Than A Level,80-90%,0-35,CCC_2014B
group3,M,Scotland,HE Qualification,70-80%,0-35,CCC_2014B
group3,F,London Region,HE Qualification,0-10%,0-35,CCC_2014B
group1,F,Scotland,HE Qualification,40-50%,35-55,CCC_2014B
group1,M,North Western Region,HE Qualification,0-10%,35-55,CCC_2014B
group1,M,West Midlands Region,Lower Than A Level,30-40%,0-35,CCC_2014B
group1,M,North Region,Lower Than A Level,20-30%,0-35,CCC_2014B
group1,M,East Midlands Region,Lower Than A Level,90-100%,0-35,CCC_2014B
group1,M,London Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
group3,M,London Region,Lower Than A Level,40-50%,0-35,CCC_2014B
group3,M,South West Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group3,F,North Western Region,A Level or Equivalent,40-50%,0-35,CCC_2014B
group1,M,Scotland,HE Qualification,90-100%,0-35,CCC_2014B
group1,F,Scotland,Lower Than A Level,0-10%,35-55,CCC_2014B
group1,F,Wales,A Level or Equivalent,10-20,0-35,CCC_2014B
group3,M,East Anglian Region,HE Qualification,70-80%,0-35,CCC_2014B
group1,F,East Anglian Region,A Level or Equivalent,30-40%,35-55,CCC_2014B
group3,M,Ireland,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,M,South East Region,A Level or Equivalent,50-60%,0-35,CCC_2014B
group1,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,CCC_2014B
group3,M,Wales,A Level or Equivalent,30-40%,0-35,CCC_2014B
group3,F,South Region,HE Qualification,70-80%,35-55,CCC_2014B
group3,M,South Region,HE Qualification,90-100%,35-55,CCC_2014B
group3,F,South East Region,A Level or Equivalent,70-80%,0-35,CCC_2014B
group1,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,CCC_2014B
